notation,description,smiles,core_smiles,enum,pathways
S.921.6,S.921.6,NC(CCC(=O)O)C(=O)O,NC(CCC(=O)O)C(=O)O,"['Aminoglycoside', 'BetaLactam', 'NonRibosomalPeptide', 'Nucleoside', 'Ripp', 'TypeIPolyketide']","['MA.1359', 'MA.659084', 'MA.659113', 'MA.659124', 'MA.698', 'MA.918', 'MA.921']"
S.921.6,S.698.2,*NC(CCC(=O)O)C(=O)O,NC(CCC(=O)O)C(=O)O,"['NonRibosomalPeptide', 'Nucleoside', 'TypeIPolyketide']","['MA.1359', 'MA.659113', 'MA.698']"
S.921.6,S.698.7,*NC(CCC(=O)O*)C(=O)O,NC(CCC(=O)O)C(=O)O,"['NonRibosomalPeptide', 'Nucleoside', 'TypeIPolyketide']","['MA.1359', 'MA.698']"
S.921.6,S.659113.6,*NC(CC(*)(*)C(=O)O)C(=O)O,NC(CCC(=O)O)C(=O)O,['Nucleoside'],['MA.659113']
S.926.63,S.926.63,*C(C)=O,CC=O,"['Aminocoumarin', 'Antimetabolite', 'BetaLactam', 'Ectoine', 'Melanin', 'NonRibosomalPeptide', 'Nucleoside', 'Phenyl', 'Phosphonate', 'Terpene', 'TypeIIPolyketide', 'TypeIPolyketide']","['MA.1003', 'MA.1010', 'MA.1062', 'MA.1073', 'MA.1242', 'MA.1248', 'MA.1283', 'MA.1359', 'MA.1440', 'MA.1447', 'MA.1451', 'MA.1539', 'MA.1617', 'MA.1628', 'MA.1776', 'MA.1809', 'MA.1831', 'MA.1873', 'MA.1923', 'MA.522', 'MA.576', 'MA.619', 'MA.626', 'MA.638', 'MA.659046', 'MA.659082', 'MA.659116', 'MA.659145', 'MA.659147', 'MA.659150_D', 'MA.659150_E', 'MA.659156_C', 'MA.659156_D', 'MA.659156_E', 'MA.659156_G', 'MA.661', 'MA.664', 'MA.698', 'MA.771', 'MA.832', 'MA.860', 'MA.890', 'MA.926']"
S.752.8,S.752.8,*[PH](=O)(=O)O,O=[PH2](=O)O,"['Aminoglycoside', 'Melanin', 'NonRibosomalPeptide', 'Nucleoside', 'Phosphonate', 'TypeIPolyketide']","['MA.1101', 'MA.1212', 'MA.1359', 'MA.1591', 'MA.1975', 'MA.589', 'MA.685', 'MA.698', 'MA.752']"
S.752.8,S.1019.29,*O[PH](*)(=O)=O,O=[PH2](=O)O,"['Nucleoside', 'TypeIPolyketide']",['MA.1019']
S.921.36,S.698.13,*NC(CCC=O)C(=O)O,NC(CCC=O)C(=O)O,"['NonRibosomalPeptide', 'Nucleoside', 'TypeIPolyketide']","['MA.1359', 'MA.698']"
S.921.36,S.921.36,*C(=O)CCC(N)C(=O)O,NC(CCC=O)C(=O)O,"['Aminoglycoside', 'BetaLactam']","['MA.918', 'MA.921']"
S.921.36,S.659091_E.50,*NC(CCC(*)=O)C(=O)O,NC(CCC=O)C(=O)O,"['NonRibosomalPeptide', 'TypeIPolyketide']","['MA.659091_A', 'MA.659091_B', 'MA.659091_C', 'MA.659091_D', 'MA.659091_E']"
S.698.31,S.1359.9,*NC(CCC(*)O)C(=O)O,NC(CCCO)C(=O)O,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.698.31,S.698.18,*NC(CCCO)C(=O)O,NC(CCCO)C(=O)O,"['Nucleoside', 'TypeIPolyketide']",['MA.698']
S.698.31,S.698.26,NC(CCCO)C(=O)O,NC(CCCO)C(=O)O,"['Nucleoside', 'TypeIPolyketide']",['MA.698']
S.698.31,S.698.31,*OCCCC(N)C(=O)O,NC(CCCO)C(=O)O,"['Nucleoside', 'TypeIPolyketide']",['MA.698']
S.659087.47,S.659087.47,*C(O)CO,OCCO,"['Lincosamide', 'NonRibosomalPeptide', 'Nucleoside', 'TypeIPolyketide']","['MA.1359', 'MA.1980', 'MA.659086', 'MA.659087']"
S.1359.12,S.1359.12,*NC(CCC(*)=O)C(O)O,NC(CCC=O)C(O)O,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.659087.10,S.659087.10,*C(=O)CO,O=CCO,"['NonRibosomalPeptide', 'Nucleoside', 'TypeIPolyketide']","['MA.1359', 'MA.659087']"
S.1359.15,S.1359.15,CC(=O)CC(O)CC(=O)CC(O)CC(O)CC(=O)S,CC(=O)CC(O)CC(=O)CC(O)CC(O)CC(=O)S,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
S.1359.20,S.1359.16,Cc1cccc2c(C(=O)O)cccc12,Cc1cccc2c(C(=O)O)cccc12,"['NonRibosomalPeptide', 'TypeIPolyketide']",['MA.1359']
