substrate_id,substrate_family,aa_id,notation,description,smiles,aminoacid_type,source
1-HDecA,long_chain_fa,1-HDecA,1-HDecA,1-heptadecanoic acid,CCCCCCCCCCCCCCCCC(=O)O,CA,ibis
13-MeMyA,long_chain_fa,13-MeMyA,13-MeMyA,13-methyl myristic acid,CC(C)CCCCCCCCCCCC(=O)O,CA,ibis
,,2-hydroxybenzoxazolate,2-hydroxybenzoxazolate,2-hydroxybenzoxazolate,O=C(O)c1c(O)ccc2ocnc12,CA,curated
,,2-OH-OCA,2-OH-OCA,(2-hydroxyoxazoline)carboxylic acid,O=C(O)C1COC(c2ccccc2O)=N1,CA,curated
"2,3-DHB",Sal,"2,3-Dihydroxybenzoic acid","2,3-Dihydroxybenzoic acid","2,3-Dihydroxybenzoic acid",O=C(O)c1cccc(O)c1O,CA,curated
3-Cl-4OHpheglyate,Hpg,3-Cl-4OHpheglyate,3-Cl-4OHpheglyate,3-Chloro-4-hydroxyphenylglyoxylic acid,O=C(O)C(=O)c1ccc(O)c(Cl)c1,CA,ibis
3-FASC,3-FASC,3-formamidosalicylate,3-formamidosalicylate,3-formamidosalicylate,O=CNc1cccc(C(=O)O)c1O,CA,curated
,,3-Hbu,3-Hbu,3-hydroxybutyric acid,CC(O)CC(=O)O,CA,curated
3-HPA,3-HPA,3-HPA,3-HPA,3-Hydroxypyridine-2-carboxylic acid,O=C(O)c1ncccc1O,CA,ibis
3-OH-AA,Ana,3-OH-AA,3-OH-AA,3-hydroxy anthranilic acid,Nc1c(O)cccc1C(=O)O,CA,ibis
Pic,Pic,3-OH-PA,3-OH-PA,3-hydroxypicolinic acid,O=C(O)c1ccccn1,CA,curated
OHQA,OHQA,3-OH-QA,3-OH-QA,3-hydroxyquinaldic acid,O=C(O)c1nc2ccccc2cc1O,CA,curated
4-Acetamido-pyr-CA,4-Acetamido-pyr-CA,4-acetamidopyrrole-2-carboxylic acid,4-acetamidopyrrole-2-carboxylic acid,4-acetamidopyrrole-2-carboxylic acid,CC(=O)Nc1c[nH]c(C(=O)O)c1,CA,curated
,,4-acetamidopyrrole-2-carboxylic acid modified,4-acetamidopyrrole-2-carboxylic acid modified,4-acetamidopyrrole-2-carboxylic acid modified,Nc1c[nH]c(C(=O)O)c1,CA,curated
4-AOHMEBA,4-AOHMEBA,4-AOHMEBA,4-AOHMEBA,4-Amino-2-hydroxy-3-methoxybenzoic acid,COc1c(N)ccc(C(=O)O)c1O,CA,ibis
4-HPGox,Hpg,4-HPGox,4-HPGox,4-hydroxyphenylglyoxylate,O=C(O)C(=O)c1ccc(O)cc1,CA,ibis
4-MeHex-2-EA,4-MeHex-2-EA,4-MeHex-2-EA,4-MeHex-2-EA,4-methylhex-2-enoic acid,CCC(C)/C=C/C(=O)O,CA,ibis
4-MHA,Ana,4-MHA,4-MHA,4-methyl-3-hydroxyl-anthranilic acid,Cc1ccc(C(=O)O)c(N)c1O,CA,ibis
