reaction_id,linker_smarts,linker_atoms,linker_enums,other_versions
PE1,[#0]-[#6]-[#6](-[#8])-[#8]-[#6],"[4, 5]","['KS', 'epoxide', 'KR']",[]
PE2,[#0]-[#6](-[#6]-[#8])-[#8]-[#6],"[4, 5]","['KS', 'epoxide', 'KR']",[]
PE3,[#0]-[#6](-[#8])-[#6]-[#8]-[#6],"[4, 5]","['KS', 'epoxide', 'KR']",[]
PS1,[#0]-[#6]-[#6]-[#8]-[#6],[4],['DH'],[]
PS2,[*]-[#6]-[#6]-[#8],[3],"['KR', 'OHMal']",['PS2-v2']
PS3,[#0]-[#6]-[#6]-[#8],[3],['DH'],[]
C1-KS-R1,[#0]/[#6]=[#6]\[#6](-[#6]=[#8])=[#6]\[#8],"[3, 4, 5, 6, 7]",['C1-KS-A3'],['C1-KS-R1-v2']
C1-KS-R1,[#0]/[#6]=[#6]\[#6](-[#6]=[#8])=[#6]\[#8],[0],['C1-KR-I2'],['C1-KS-R1-v2']
C1-KR-I2,[#0]/[#6]=[13#6H]/[#0],[0],['C1-KS-A3'],['C1-KR-I2-v2']
C1-KR-I2,[#0]/[#6]=[13#6H]/[#0],[3],['C1-KS-R1'],['C1-KR-I2-v2']
C1-KS-A3,[#8:6]=[#6:4](-[#6:3](/[#6:7]=[#6:8]\[#6:9])=[#6:2]\[#8H1:1]),"[3, 4]",['C1-KS-R1'],[]
C2-KR-A1,[#0]/[#6]=[#6](/[#0])-[#8]-[#6]=[#8],"[3, 5, 6]",['C2-KS-R2'],['C2-KR-A1-v2']
C2-KS-R2,[#8]/[#6](-[#0])=[#6]/[#6](-[#8])=[#8],[2],['C2-KR-A1'],['C2-KS-R2-v2']
C3-KS-A1,[#6]/[#6](-[#8])=[#6]\[#6]=[#6](\[#0])-[#6]=[#8],"[1, 2, 3, 4]",['C3-KS-R3'],[]
C3-KR-I2,[#6]=[#6]-[#0],[2],"['C3-KS-R3', 'C3-KS-A1']",['C3-KR-I2-v2']
C3-KS-R3,[#6]/[#6]=[#6](\[#6]=[#6](/[#0])-[#8])-[#8],[1],['C3-KR-I2'],['C3-KS-R3-v2']
S1,[#8]-[#6](-[#8])-[#6]-[#0],"[0, 2]",['KR'],[]
DS-1,[#0]-[#6]/[#6]=[#6]/[#0],[3],"['DH-shift-2', 'DH-shift-3']",[]
DS-2,[*]-[#6]/[#6]=[#6]/[#0],[3],"['DH-shift-1', 'DH-shift-3']",[]
DS-3,[#0]/[#6]=[#6]/[#6]=[#6]/[#0],[1],"['DH-shift-1', 'DH-shift-3']",[]
DS-3,[#0]/[#6]=[#6]/[#6]=[#6]/[#0],[4],"['DH-shift-2', 'DH-shift-3']",[]
DS-3-b,[#0]/[#6]=[#6](-[#6])/[#6]=[#6]/[#0],[1],"['DH-shift-1', 'DH-shift-3']",[]
DS-3-b,[#0]/[#6]=[#6](-[#6])/[#6]=[#6]/[#0],[5],"['DH-shift-2', 'DH-shift-3']",[]
DS-4,[#0]-[#6]/[#6]=[#6]/[#0],[3],"['DH-shift-5', 'DH-shift-6']",['DS-4-v2']
DS-5,[*]-[#6]/[#6]=[#6]/[#0],[3],"['DH-shift-4', 'DH-shift-6']",['DS-5-v2']
DS-6,[#0]/[#6]=[#6]/[#6]=[#6]/[#0],[1],"['DH-shift-4', 'DH-shift-6']",[]
DS-6,[#0]/[#6]=[#6]/[#6]=[#6]/[#0],[4],"['DH-shift-5', 'DH-shift-6']",[]
DS-6-b,[#0]/[#6]=[#6](-[#6])/[#6]=[#6]/[#0],[1],"['DH-shift-4', 'DH-shift-6']",[]
DS-6-b,[#0]/[#6]=[#6](-[#6])/[#6]=[#6]/[#0],[5],"['DH-shift-5', 'DH-shift-6']",[]
C4-KR-A1,[#0](-[#6]-[#6]-[#8]-[#6:1]-[#6:1]),"[4, 5]",['C4-MeDH-R2'],[]
C4-MeDH-R2,[*]-[#6H1D{3-4}z{0-1}](-[#6H2D2z1^3]-[#8:1])-[#6H2D{2-3}z{0-1}]-[*],[3],['C4-KR-A1'],[]
C5-KS-R3,[#0]-[#6]/[#6](-[#8]-[#0])=[#6]/[#0],[3],['KR'],[]
C5-KS-I2,[#0]-[#6](/[#6]=[#6]/[#8]-[#0])=[#8],"[0,4,5]",['KR'],['C5-KS-I2-v2']
C5-KS-I2,[#0]-[#6](/[#6]=[#6]/[#8]-[#0])=[#8],[3],['C5-KS-R3'],['C5-KS-I2-v2']
C5-KR-I2,[#0]-[#6](/[#6]=[#6]/[#8]-[#0])-[#8],"[0,4,5]",['KR'],['C5-KR-I2-v2']
C5-KR-I2,[#0]-[#6](/[#6]=[#6]/[#8]-[#0])-[#8],[3],['C5-KS-R3'],['C5-KR-I2-v2']
C6-KS-R1,[#0]-[#6](-[#8])(-[#7])-[#6]-[#0],[5],['KR'],[]
DA-DH-1,[#0]-[#6]1-[#6]=[#6]-[#6]-[#6]-[#6]-1-[#0],"[3, 4]",['DA-DH-2'],[]
DA-DH-1,[#0]-[#6]1-[#6]=[#6]-[#6]-[#6]-[#6]-1-[#0],"[5, 6]",['DA-DH-3'],[]
DA-DH-2,[#0]-[#6]1-[#6]-[#6](-[#0])-[#6]=[#6]-[#6]-1,"[6, 7]",['DA-DH-1'],[]
DA-DH-2,[#0]-[#6]1-[#6]-[#6](-[#0])-[#6]=[#6]-[#6]-1,"[1, 2]",['DA-DH-3'],[]
DA-DH-3,[#0]-[#6]1-[#6](-[#0])-[#6](-[#0])-[#6]=[#6]-[#6]-1,"[7, 8]",['DA-DH-1'],[]
