reaction_id,enums,reaction_name,reaction_smarts,predecessor_reaction_ids,predecessor_substrate_ids,ignore_substrate_ids,consider_terminal,consider_thiol_removal,avoid_dereplication,consider_module_neighbors
PE1,['polyether'],PE1,[#8H0:1]=[#6:2]-[#6:3]-[#6:4](-[#16:6])=[#8:5]>>[#8H1:1]-[#6:2](-[#8:7]-[#6:8])-[#6:3]-[#6:4](-[#16:6])=[#8:5],['KS'],[],[],TRUE,TRUE,TRUE,TRUE
PE2,['polyether'],PE2,[#16:1]-[#6:2](-[#6:3]1-[#6:4]-[#8:5]-1)=[#8:6]>>[#16:1]-[#6:2](-[#6:3](-[#8:7]-[#6:8])-[#6:4]-[#8:5])=[#8:6],['epoxide'],[],[],FALSE,TRUE,TRUE,TRUE
PE3,['polyether'],PE3,[#8:5]=[#6:4](-[#16:6])-[#6:2]1-[#6:1]-[#8:3]-1>>[#8:3]-[#6:2](-[#6:4](-[#16:6])=[#8:5])-[#6:1]-[#8:7]-[#6:8],['epoxide'],[],[],FALSE,TRUE,TRUE,TRUE
PS1,['pyran'],PS1,[#8:4]-[#6:3]-[#6:1]-[#6:2](-[#16:6])=[#8:5]>>[#8:5]=[#6:2](-[#16:6])-[#6:1]-[#6:3]-[#8:4]-[#6:7],['KR'],[],[],FALSE,TRUE,FALSE,TRUE
PS2,['pyran'],PS2,[#6:1]=[#6H1:2]-[#6:3](-[#16:5])=[#8:4]>>[#8:4]=[#6:3](-[#16:5])-[#6H2:2]-[#6:1]-[#8:6],['DH'],['Mal'],[],TRUE,TRUE,FALSE,TRUE
PS2-v2,['pyran'],PS2,[#6:1]=[#6H0:2]-[#6:3](-[#16:5])=[#8:4]>>[#8:4]=[#6:3](-[#16:5])-[#6H1:2]-[#6:1]-[#8:6],['DH'],[],['Mal'],TRUE,TRUE,FALSE,TRUE
PS3,['pyran'],PS3,[#8:3]=[#6:2](-[#16:4])-[#6:1]-[#8:5]>>[#8:3]=[#6:2](-[#16:4])-[#6:1]-[#8:5]-[#6:6],[],['OHMal'],[],FALSE,TRUE,FALSE,TRUE
S1,['spiral'],S1,[#8:2]=[#6:1]-[#6:3]-[#6:4](-[#16:5])=[#8:6]>>[#16:5]-[#6:4](-[#6:3]-[#6:1](-[#8:7])-[#8:8])=[#8:6],['KS'],[],[],FALSE,TRUE,TRUE,TRUE
C1-KS-R1,"['PK-cyc', 'C1-KS-R1']",C1-KS-R1,[#8:3]=[#6:1]-[#6H2:2]-[#6:4](-[#16:5])=[#8:6]>>[#16:5]-[#6:4](/[#6H1:2]=[#6:1]\[#6:7](-[#6:8]=[#8:9])=[#6:10]\[#8:11])=[#8:6],['KS'],['Mal'],"['epoxMal', 'isoBut', 'ketoMal', 'R-MeMal', '2R-Mal', 'OH-MeOH-Mal']",FALSE,TRUE,TRUE,TRUE
C1-KS-R1-v2,"['PK-cyc', 'C1-KS-R1']",C1-KS-R1,[#8:3]=[#6:1]-[#6H1:2]-[#6:4](-[#16:5])=[#8:6]>>[#16:5]-[#6:4](/[#6H0:2]=[#6:1]\[#6:7](-[#6:8]=[#8:9])=[#6:10]\[#8:11])=[#8:6],['KS'],[],"['epoxMal', 'isoBut', 'ketoMal', 'R-MeMal', '2R-Mal', 'OH-MeOH-Mal', 'Mal']",FALSE,TRUE,TRUE,TRUE
