smarts_hash_id,unit_id,unit
2552c1d2,1,P.M00763.3
f12f0601,1,P.M00763.3
d93c57d1,2,P.3187.15
636783ae,3,P.2076.6
ccb2446f,4,S.659046.2
ce24eb6a,4,S.659046.2
c6d5bb69,5,S.1027.9
c05d01d0,5,S.1027.9
1d5a3113,6,P.2187.16
84fd0222,7,P.2407.6
72f77d94,8,P.3082.75
84180e08,9,P.2461.8
b8bd44ba,9,P.2461.8
7611c77c,10,P.3170.69
a3438540,10,P.3170.69
10e11201,11,S.666.1
71c1cc0e,12,L-digitoxose
582b50e8,12,L-digitoxose
db6cfca8,13,P.2654.9
f17d5989,13,P.2654.9
d70be3ef,14,P.M00608.19
3367503b,15,Mal-DH-cMT-DS
2eedc623,16,P.M00777.2
f822ce11,16,P.M00777.2
b86840b9,17,cid_5282713
b4c151b9,18,D-digitoxose
621189ae,18,D-digitoxose
bf84d5e0,19,P.2336.297
a8ca75f2,20,P.2336.199
5b25ef3a,21,P.123.39
36a44734,21,P.123.39
a1ca3ec6,22,3-N-acetyl-D-ravidosamine
ad270d50,22,3-N-acetyl-D-ravidosamine
8d055358,23,P.2985.51
f2acb8e9,23,P.2985.51
52dfd6e6,23,P.2985.51
788e1e98,24,P.M00911.13
e5e3f457,24,P.M00911.13
492c1c7e,24,P.M00911.13
fbc774fa,25,P.2316.16
4ed4af05,26,P.640.4
610ddb55,26,P.640.4
7304dc25,27,P.920.5
b12e4387,28,P.2829.23
b3c18f43,29,cid_5282842
300e07a5,30,C6:0-OMe(3)
e952f8e7,31,P.M00894.7
0aeb419c,31,P.M00894.7
1d380761,31,P.M00894.7
61449aec,32,P.1097.3
eb06eec1,33,P.886.5
d0234b4c,33,P.886.5
3992cea4,33,P.886.5
3910b47d,34,S.771.4
7da11207,34,S.771.4
6e4fa95b,35,S.659096.51
8e1254ab,36,S.864.1
6efa39f2,36,S.864.1
d10634da,36,S.864.1
0ea10211,37,P.2316.19
86093e6e,37,P.2316.19
d3ae34da,38,P.1187.11
868084ae,39,P.387.11
1fe0dd46,39,P.387.11
8dd25d06,40,S.659091_E.8
e6c0f689,41,P.1123.28
0bb4d81b,42,cid_9548876
d23fbb63,43,Me
cd26b223,43,Me
c406dc67,43,Me
11d6fc37,44,P.3061.224
bd7b96b9,44,P.3061.224
a2480fcf,45,S.1539.16
efc93085,46,P.1664.3
c40c5001,46,P.1664.3
3dcd59e8,47,P.205.22
8aad810b,48,P.1273.15
af203aa0,48,P.1273.15
65fc892e,49,P.787.1
565334dc,49,P.787.1
0bb3ce73,49,P.787.1
76c3e29b,50,S.659084.40
e881da6c,51,P.3066.31
fd13e630,52,S.926.40
a4f5863a,52,S.926.40
27a7c3c2,52,S.926.40
3a6c670d,52,S.926.40
856949a6,53,P.M00540.3
8333e17f,53,P.M00540.3
a29ded57,54,P.3068.5
83b76184,55,P.M00911.6
e5ae707c,56,P.1605.5
e60e7534,57,P.225.11
5349f917,58,S.962.30
9b6b3ae8,58,S.962.30
705a7576,59,P.2830.7
2cffd073,59,P.2830.7
7f63177a,60,S.659087.24
482d1ae3,61,P.3059.54
b6294839,62,3_OH_TDC
ea7e788c,62,3_OH_TDC
d93d1a48,63,P.2136.27
d5de94be,64,P.2917.53
c29b9191,65,P.M00060.25
30bc31a7,65,P.M00060.25
853adeb2,66,P.1655.30
d20b7cd7,66,P.1655.30
46e12aa4,67,P.1479.2
944a6e0f,67,P.1479.2
a06926f3,67,P.1479.2
4b62e6ce,68,P.87.19
8c7370d4,69,P.300.8
083e7d96,69,P.300.8
38a43b75,70,P.2336.94
a7521c93,71,P.2336.241
575888d2,72,2-deoxy-L-fucose
3e875b75,73,P.742.4
a2c7eec4,74,C18:1(9)-OH(3)
8893d2fc,75,P.541.5
61fa7d01,76,P.3086.51
2ef0b1df,76,P.3086.51
92d67174,76,P.3086.51
417a59b1,76,P.3086.51
a571e7ae,77,cid_5280411
e738b6a7,78,cid_5280711
57240a15,79,P.2790.29
3cf8c3fa,80,cid_5282965
e7eaeada,81,P.315.17
26d0155b,82,P.65.14
42301330,83,P.M00569.13
bfa15c3a,84,P.3042.102
c8869baf,85,P.1320.5
8f18dcfc,86,carbamoyl
c473c8e7,86,carbamoyl
cfd243f1,86,carbamoyl
bc0eb55e,87,P.M00104.47
2d254128,87,P.M00104.47
53783c3f,88,P.3177.10
f88087d0,88,P.3177.10
6cc531c6,89,P.168.13
c331b2a1,90,P.2994.20
4f4a63f5,90,P.2994.20
d390ad77,91,2-GAHG
3660a81d,91,2-GAHG
662c56e3,91,2-GAHG
0832f787,91,2-GAHG
18cc5105,91,2-GAHG
962e8cc4,91,2-GAHG
5caa9b46,91,2-GAHG
26fa8673,91,2-GAHG
6d5ba636,91,2-GAHG
7e546df0,91,2-GAHG
4ff1eb12,91,2-GAHG
15f892ef,91,2-GAHG
c20bddaa,91,2-GAHG
aabc9559,91,2-GAHG
8475d9b9,91,2-GAHG
ec5eac0c,91,2-GAHG
123dd6a8,91,2-GAHG
ca6b8998,91,2-GAHG
f889a05a,91,2-GAHG
08facd49,91,2-GAHG
1fcb9d90,91,2-GAHG
bf795d61,91,2-GAHG
eaad088d,91,2-GAHG
554a1fd0,91,2-GAHG
d5d058aa,91,2-GAHG
b980c4ef,91,2-GAHG
3b0733e7,91,2-GAHG
ee2ca8b8,91,2-GAHG
54099208,91,2-GAHG
be3f0821,91,2-GAHG
b20d8276,91,2-GAHG
8bd78a73,91,2-GAHG
161de750,91,2-GAHG
f78077f3,91,2-GAHG
dc53fd1e,91,2-GAHG
e3c15257,91,2-GAHG
da0ee37c,91,2-GAHG
ad9d16b3,91,2-GAHG
b8b08c76,91,2-GAHG
03d63b23,91,2-GAHG
9b36cc9f,91,2-GAHG
b3f52d59,91,2-GAHG
0294fa36,91,2-GAHG
4925ccd5,91,2-GAHG
17f28ff7,91,2-GAHG
cdb8f82f,91,2-GAHG
5f2aeda9,91,2-GAHG
b022616d,91,2-GAHG
48b85efc,91,2-GAHG
4cfc53a3,91,2-GAHG
90d891ed,91,2-GAHG
8a833dcf,91,2-GAHG
949fb9d4,91,2-GAHG
ce931680,91,2-GAHG
6a75bacd,91,2-GAHG
4bb28ee6,91,2-GAHG
37ab1402,91,2-GAHG
9b10710e,91,2-GAHG
c91da3b0,92,P.779.1
aa03e5e2,93,S.991.60
356eeec7,93,S.991.60
efe91953,94,P.M00915.3
fd787a21,95,P.3134.8
30a6d8f1,96,S.1245.3
44ad583b,97,P.2397.8
35a8b2f7,98,P.727.2
2d8657fa,99,P.1218.15
4f3ca61d,100,P.M00878.1
514bad77,100,P.M00878.1
eac1f16f,101,P.893.3
6cba84ce,101,P.893.3
cd31609b,102,P.710.17
b74c0c46,103,P.M00914.23
a56001dd,104,P.825.4
6b60e083,105,P.M00845.22
ed16371f,106,cid_443528
7c55332c,107,cid_454064
e3780ebc,108,P.2917.138
f93806cb,108,P.2917.138
176063dc,109,S.964.1
c70b5d8b,110,P.M00432.12
68392e9c,111,P.1220.1
6c5a6c75,112,P.875.16
c7df9293,112,P.875.16
08192493,113,S.1871.34
128ac5e4,114,P.M00785.18
781a8e7b,115,P.M00131.2
4f7cdddc,116,P.3166.19
b01b1bcc,117,P.3068.32
74e7825b,117,P.3068.32
13d902ce,118,P.862.5
974a6e6a,119,P.1547.2
6dfd44dc,119,P.1547.2
8a80f999,120,P.1752.8
c8ed2c93,120,P.1752.8
a2ec4ac6,121,P.1711.4
4936f032,121,P.1711.4
c7561c0c,122,P.515.22
2f4bf081,123,P.1839.4
675e4626,123,P.1839.4
d806ece3,123,P.1839.4
b8ba07fd,124,OMeTyr
9f2a01e1,124,OMeTyr
a6d57638,124,OMeTyr
8fccd765,124,OMeTyr
cafd7eba,124,OMeTyr
f2e565cc,124,OMeTyr
d41790b0,124,OMeTyr
a5e9f96b,124,OMeTyr
fd6f0718,124,OMeTyr
078181ad,124,OMeTyr
857803c4,124,OMeTyr
d9fd5ff4,124,OMeTyr
88f89a25,124,OMeTyr
5c067202,124,OMeTyr
b4361870,124,OMeTyr
f24012a8,124,OMeTyr
3ac71e5a,124,OMeTyr
977b1560,124,OMeTyr
733cf8b2,124,OMeTyr
06e9fdf1,124,OMeTyr
d2356359,124,OMeTyr
1a4179eb,124,OMeTyr
3b5856dd,124,OMeTyr
388d195f,124,OMeTyr
6651bc3b,124,OMeTyr
8e3fd512,124,OMeTyr
43d819e3,124,OMeTyr
658949be,124,OMeTyr
8ef55e43,124,OMeTyr
f9ec2bfc,124,OMeTyr
5922f0b6,124,OMeTyr
17c859de,124,OMeTyr
04130986,124,OMeTyr
67c2126c,124,OMeTyr
5e09c87b,125,P.2820.9
f7283b1d,126,P.1222.3
d5389cb2,127,P.587.6
f48de709,127,P.587.6
2cec417a,127,P.587.6
7f319bb5,128,P.875.18
720afcad,128,P.875.18
2740cd21,129,P.1995.6
82879630,129,P.1995.6
d4fc97e2,130,P.2693.4
ee106fb6,131,P.2119.5
e1f22f9d,132,P.2928.38
462bb550,133,P.2891.4
ef3f0a8f,134,P.2716.2
2cbe9733,135,P.1764.4
facb4404,136,S.659151_B.51
