unit_id,pks_reaction_tag
1630,KS
4396,KR
4676,ER
1630,KS
4396,KR
4676,ER
13941,KS
1961,KR
13624,DH
12269,ER
13941,KS
1961,KR
13624,DH
12269,ER
13942,KS
13943,KR
9573,DH
9875,ER
13946,B
13942,KS
13943,KR
9573,DH
9875,ER
13946,B
13940,KS
4543,KR
13944,DH
13945,ER
13940,KS
4543,KR
13944,DH
13945,ER
6236,KS
2754,KR
5043,DH
12016,ER
6236,KS
2754,KR
5043,DH
12016,ER
374,KS
431,KR
581,DH
378,ER
374,KS
431,KR
581,DH
378,ER
583,KS
314,KR
606,DH
430,ER
583,KS
314,KR
606,DH
430,ER
4606,KS
1206,KR
12450,DH
1925,ER
4606,KS
1206,KR
12450,DH
1925,ER
13939,KS
1733,KR
10727,DH
9320,ER
13939,KS
1733,KR
10727,DH
9320,ER
694,KS
697,KR
657,DH
651,ER
694,KS
697,KR
657,DH
651,ER
