unit_id,rule_id,reaction_id
11497,62,1
17,63,1
11701,64,1
9531,65,2
12365,66,1
12365,66,1
12365,66,2
577,69,1
577,69,2
577,69,3
12573,70,1
12573,70,3
1351,71,4
1351,71,1
1351,71,2
1351,71,3
1351,71,4
12508,72,1
12508,72,4
12508,72,1
12508,72,2
12508,72,3
12508,72,4
12508,72,5
11701,73,5
8669,74,1
8669,74,4
8669,74,5
8669,74,1
8669,74,2
8669,74,3
8669,74,4
8669,74,5
8669,74,6
6639,76,7
13597,77,7
13597,77,8
11701,78,9
6911,79,9
13597,80,7
13597,80,8
13597,80,9
12867,81,10
12867,81,7
12867,81,8
12867,81,9
12867,81,10
5090,82,9
5090,82,10
5090,82,7
5090,82,8
5090,82,9
5090,82,10
5090,82,11
10719,83,9
10719,83,10
10719,83,7
10719,83,8
10719,83,9
10719,83,10
10719,83,11
10719,83,12
6693,84,13
6693,84,14
11484,85,14
12172,87,13
12172,87,14
10916,88,14
10916,88,13
10916,88,14
10916,88,15
8788,89,14
8788,89,13
8788,89,14
8788,89,15
8788,89,16
8788,90,14
8788,90,13
8788,90,14
8788,90,15
8788,90,16
8788,90,17
6911,91,17
9063,92,14
9063,92,18
9063,92,15
9063,92,18
12073,93,13
12073,93,14
12073,93,15
12073,93,16
12073,93,17
12073,93,18
12073,94,13
12073,94,14
12073,94,15
12073,94,16
12073,94,17
12073,94,18
12073,94,19
12573,95,19
13847,98,20
3905,99,20
3905,99,21
7938,100,20
7938,100,21
7938,100,22
7938,101,20
7938,101,21
7938,101,22
7938,101,23
11701,102,23
1974,104,24
1974,104,24
11219,105,24
11219,105,24
11219,105,25
11219,106,24
11219,106,24
11219,106,25
11219,106,26
3478,107,26
13896,110,27
13933,111,27
11701,113,28
13896,114,28
13933,115,28
13933,117,28
13933,117,29
13942,118,29
13896,119,28
13896,119,29
13896,120,30
13896,121,27
13896,121,30
13933,122,30
13942,123,30
11701,124,30
13933,125,27
13933,125,30
13896,126,30
13896,126,31
13942,127,31
13933,128,30
13933,128,31
2147,130,32
3938,131,32
3938,131,33
2205,132,32
2205,132,33
2205,132,34
12279,133,32
12279,133,33
12279,133,34
12279,133,35
13195,134,32
13195,134,33
13195,134,34
13195,134,35
13195,134,36
10062,135,32
10062,135,33
10062,135,34
10062,135,35
10062,135,36
10062,135,37
10062,136,32
10062,136,33
10062,136,34
10062,136,35
10062,136,36
10062,136,37
10062,136,38
11701,137,38
10062,138,32
10062,138,33
10062,138,34
10062,138,35
10062,138,36
10062,138,37
10062,138,38
10062,138,39
10062,138,40
13115,139,39
11701,140,40
11701,141,41
13115,142,39
13115,142,41
10062,143,32
10062,143,33
10062,143,34
10062,143,35
10062,143,36
10062,143,37
10062,143,38
10062,143,39
10062,143,40
10062,143,41
1767,145,42
9732,146,43
2257,147,42
2257,147,43
825,148,42
825,148,43
825,148,44
10225,152,42
10225,152,43
10225,152,45
9469,153,50
9469,153,50
11581,154,47
6402,156,50
6402,156,50
6402,156,51
7972,157,51
11065,158,42
11065,158,43
11065,158,45
11065,158,46
6911,159,46
13901,160,47
13944,161,48
8961,162,50
8961,162,50
8961,162,51
8961,162,52
8961,162,53
10107,163,43
10107,163,42
10107,163,43
10107,163,45
10107,163,46
10107,163,49
13944,164,48
13944,164,49
7002,165,52
7002,165,53
5108,166,50
5108,166,51
5108,166,50
5108,166,51
10236,167,50
10236,167,50
10236,167,51
10236,167,52
10236,167,53
10236,167,54
13901,168,47
13901,168,55
515,169,52
515,169,53
7751,170,52
7751,170,53
7751,170,54
7751,170,55
7751,170,56
515,171,52
515,171,53
515,171,54
515,171,55
515,171,56
12562,172,57
12562,172,52
12562,172,53
12562,172,54
12562,172,55
12562,172,56
12562,172,57
515,173,52
515,173,53
515,173,54
515,173,55
515,173,56
515,173,57
1010,174,57
1010,174,59
1010,174,52
1010,174,53
1010,174,54
1010,174,55
1010,174,56
1010,174,57
1010,174,59
515,175,52
515,175,53
515,175,54
515,175,55
515,175,56
515,175,57
515,175,59
141,176,52
141,176,53
141,176,54
141,176,55
141,176,56
141,176,57
141,176,58
141,176,59
141,176,60
6911,177,58
6911,178,59
6911,179,57
1010,180,57
1010,180,59
1010,180,52
1010,180,53
1010,180,54
1010,180,55
1010,180,56
1010,180,57
1010,180,58
1010,180,59
1010,180,60
515,181,52
515,181,53
515,181,54
515,181,55
515,181,56
515,181,57
515,181,58
515,181,59
515,181,60
6911,182,60
6689,184,61
11513,185,61
11513,185,78
4460,186,61
4460,186,62
4460,186,78
9992,187,61
9992,187,62
9992,187,63
9992,187,78
13047,188,61
13047,188,62
13047,188,63
13047,188,64
13047,188,78
4848,189,65
4848,189,61
4848,189,62
4848,189,63
4848,189,64
4848,189,65
4848,189,78
5,192,65
5,192,66
5,192,61
5,192,62
5,192,63
5,192,64
5,192,65
5,192,66
5,192,78
13351,193,73
13351,193,73
11685,194,65
11685,194,61
11685,194,62
11685,194,63
11685,194,64
11685,194,65
11685,194,66
11685,194,67
11685,194,78
11701,195,66
11701,195,67
11701,196,67
3421,197,73
6783,198,73
6783,198,74
8213,199,61
8213,199,62
8213,199,63
8213,199,64
8213,199,65
8213,199,66
8213,199,67
8213,199,68
8213,199,78
11701,200,65
11701,200,68
5897,201,73
5897,201,74
5897,201,75
5118,202,61
5118,202,62
5118,202,63
5118,202,64
5118,202,65
5118,202,66
5118,202,67
5118,202,68
5118,202,69
5118,202,78
8163,203,73
8163,203,74
8163,203,75
8163,203,76
5118,204,61
5118,204,62
5118,204,63
5118,204,64
5118,204,65
5118,204,66
5118,204,67
5118,204,68
5118,204,69
5118,204,70
5118,204,78
6911,205,70
480,206,73
480,206,74
480,206,75
480,206,76
480,206,77
5118,207,61
5118,207,62
5118,207,63
5118,207,64
5118,207,65
5118,207,66
5118,207,67
5118,207,68
5118,207,69
5118,207,70
5118,207,71
5118,207,78
9606,208,71
9606,208,73
9606,208,71
9606,208,74
9606,208,75
9606,208,76
9606,208,77
9606,209,71
9606,209,73
9606,209,71
9606,209,72
9606,209,74
9606,209,75
9606,209,76
9606,209,77
6911,210,72
5118,211,61
5118,211,62
5118,211,63
5118,211,64
5118,211,65
5118,211,66
5118,211,67
5118,211,68
5118,211,69
5118,211,70
5118,211,71
5118,211,72
5118,211,78
2657,212,79
7270,213,80
7270,213,79
7270,213,80
6805,214,80
6805,214,79
6805,214,80
6805,214,81
6805,214,82
11701,215,84
6805,216,80
6805,216,79
6805,216,80
6805,216,81
6805,216,82
6805,216,83
6805,216,84
1546,217,80
1546,217,79
1546,217,80
1546,217,81
1546,217,82
463,218,80
463,218,79
463,218,80
463,218,81
463,218,82
463,218,83
463,218,84
463,219,80
463,219,79
463,219,80
463,219,81
463,219,82
463,219,83
463,219,84
463,219,85
1870,221,86
2824,222,86
2824,222,87
11734,223,86
11734,223,87
11734,223,88
11701,224,89
12281,225,86
12281,225,87
12281,225,88
12281,225,89
2232,226,89
2232,226,86
2232,226,87
2232,226,88
2232,226,89
2232,226,90
9469,227,91
1368,228,91
2759,229,91
9874,230,91
11701,231,91
11873,232,91
9264,233,94
9264,233,87
9264,233,90
9264,233,94
13523,234,89
13523,234,86
13523,234,87
13523,234,88
