rule_id,rxn_n
62,1
63,1
64,1
65,1
66,3
69,3
70,2
71,5
72,7
73,1
74,9
76,1
77,2
78,1
79,1
80,3
81,5
82,7
83,8
84,2
85,1
87,2
88,4
89,5
90,6
91,1
92,4
93,6
94,7
95,1
98,1
99,2
100,3
101,4
102,1
104,2
105,3
106,4
107,1
110,1
111,1
113,1
114,1
115,1
117,2
118,1
119,2
120,1
121,2
122,1
123,1
124,1
125,2
126,2
127,1
128,2
130,1
131,2
132,3
133,4
134,5
135,6
136,7
137,1
138,9
139,1
140,1
141,1
142,2
143,10
145,1
146,1
147,2
148,3
152,3
153,2
154,1
156,3
157,1
158,4
159,1
160,1
161,1
162,5
163,6
164,2
165,2
166,4
167,6
168,2
169,2
170,5
171,5
172,7
173,6
174,9
175,7
176,9
177,1
178,1
179,1
180,11
181,9
182,1
184,1
185,2
186,3
187,4
188,5
189,7
192,9
193,2
194,9
195,2
196,1
197,1
198,2
199,9
200,2
201,3
202,10
203,4
204,11
205,1
206,5
207,12
208,7
209,8
210,1
211,13
212,1
213,3
214,5
215,1
216,7
217,5
218,7
219,8
221,1
222,2
223,3
224,1
225,4
226,6
227,1
228,1
229,1
230,1
231,1
232,1
233,4
234,7
235,2
236,8
237,5
238,9
239,4
241,1
242,2
243,1
244,3
245,4
246,6
247,1
248,7
249,2
250,9
252,1
253,1
254,1
255,2
256,3
257,2
258,5
259,1
260,6
261,2
262,3
263,3
264,4
265,8
266,5
267,9
268,4
269,11
270,6
271,10
272,7
273,2
274,6
275,11
276,7
277,10
278,1
279,13
280,9
281,8
282,1
283,12
284,15
285,11
286,14
287,10
291,1
292,1
293,1
295,2
296,2
297,3
298,3
299,2
300,2
301,3
302,3
303,6
304,7
305,1
306,1
307,8
308,3
309,1
310,1
311,5
312,1
313,1
314,2
315,1
316,4
317,6
318,1
319,7
320,1
321,2
322,3
323,1
324,4
325,1
326,5
327,6
328,1
329,8
330,8
331,2
332,3
333,4
334,5
335,1
336,1
337,6
338,1
339,1
341,3
342,4
343,1
347,5
348,2
349,1
350,2
