reaction_id,ec_n,pf_n
22741,1,0
4367,1,0
4368,1,0
4369,1,0
4370,1,0
4371,1,0
4372,1,0
4373,1,0
4374,1,0
4375,1,0
4376,1,0
10220,1,0
7179,1,0
11893,1,0
11894,1,0
11895,1,0
11896,1,0
5363,1,0
5364,1,0
5365,1,0
14961,1,0
6009,1,0
6010,1,0
6011,1,0
23535,1,0
10892,1,0
12291,1,0
12292,1,0
6098,1,0
6099,1,0
6100,1,0
11330,1,0
11331,1,0
11332,1,0
11333,1,0
11334,1,0
11335,1,0
11336,1,0
11338,1,0
18369,1,0
7811,1,0
7812,1,0
7813,1,0
7814,1,0
7815,1,0
7816,1,0
7817,1,0
12616,1,0
12617,1,0
21291,1,0
20779,1,0
20780,1,0
20781,1,0
20782,1,0
20783,1,0
20784,1,0
20785,1,0
20786,1,0
20787,1,0
9512,1,0
9513,1,0
4112,1,0
4113,1,0
4114,1,0
4115,1,0
4116,1,0
4117,1,0
4118,1,0
4119,1,0
10760,1,0
16632,1,0
16633,1,0
16634,1,0
4186,1,0
4187,1,0
4188,1,0
4189,1,0
4190,1,0
23010,1,0
23014,1,0
23015,1,0
23017,1,0
18599,1,0
18600,1,0
18601,1,0
7687,1,0
17145,1,0
17146,1,0
17147,1,0
17148,1,0
17149,1,0
17150,1,0
17151,1,0
9137,1,0
9138,1,0
9139,1,0
9142,1,0
7310,1,0
7311,1,0
7312,1,0
23768,1,0
23769,1,0
23770,1,0
23771,1,0
23772,1,0
23773,1,0
23774,1,0
15073,1,0
15074,1,0
15075,1,0
14029,1,0
10496,1,0
10497,1,0
4197,1,0
4198,1,0
4199,1,0
4200,1,0
4201,1,0
14671,1,0
14672,1,0
20491,1,0
20492,2,0
14163,1,0
14164,1,0
14165,1,0
16228,1,0
16229,1,0
3995,1,0
22234,1,0
16054,1,0
16055,1,0
16056,1,0
16057,1,0
16058,2,0
16059,1,0
16060,1,0
16061,1,0
16062,1,0
4407,1,0
17114,1,0
17115,1,0
17116,1,0
17117,1,0
17118,2,0
17119,2,0
17120,2,0
17121,1,0
17122,1,0
22825,1,0
22826,1,0
6359,1,0
6360,1,0
6361,1,0
6362,1,0
6363,1,0
7145,1,0
15086,1,0
15087,1,0
15088,1,0
15089,1,0
15090,1,0
12990,1,0
12991,1,0
12993,1,0
12994,1,0
12996,1,0
12997,1,0
16803,1,0
16804,1,0
18245,1,0
18246,2,0
4447,1,0
4448,1,0
4449,1,0
10436,1,0
10437,1,0
10438,1,0
8190,1,0
8191,1,0
8192,1,0
8193,1,0
8194,1,0
8195,1,0
8196,1,0
8197,1,0
8198,1,0
8199,1,0
8200,1,0
8201,1,0
14129,1,0
14130,1,0
7725,1,0
7726,1,0
7727,1,0
7728,1,0
7729,1,0
7730,1,0
7731,1,0
7735,1,0
5318,1,0
23819,1,0
23820,1,0
23821,1,0
16837,1,0
16838,1,0
16839,1,0
16840,1,0
16841,1,0
16842,1,0
16843,1,0
16844,1,0
16144,1,0
16145,1,0
16146,1,0
16147,1,0
16148,1,0
16149,1,0
16150,1,0
16151,1,0
13226,1,0
13227,1,0
13228,1,0
13229,1,0
13230,1,0
13231,1,0
20985,1,0
20986,1,0
18023,1,0
18025,1,0
18026,1,0
18027,1,0
18031,1,0
22919,1,0
22920,1,0
5155,1,0
23536,1,0
23537,1,0
23538,1,0
23539,1,0
23540,1,0
23541,1,0
23544,1,0
23546,1,0
23547,1,0
5704,1,0
5705,1,0
5706,1,0
17686,1,0
