metabolite_id,smiles,chemotype
1,CCC1(O)C=Cc2c(c(O)c3c(O)c4c(O)ccc(O)c4c(O)c3c2O)C1C(=O)OC,TypeIIPolyketide
2,Oc1ccc(C=Cc2cc(O)cc3c2C(c2cc(O)cc(O)c2)C(c2ccc(O)cc2)O3)cc1,TypeIIPolyketide
3,CC1=CCCC(C)(C)C1/C=C\C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)/C=C/C1C(C)=CCCC1(C)C,Terpene
4,CCC(C)C1NC(=O)CNC(=O)C2Cc3c([nH]c4cc(O)ccc34)[S+]([O-])CC(NC(=O)CNC1=O)C(=O)NC(CC(=O)O)C(=O)N1CC(O)CC1C(=O)NC(C(C)C(C)O)C(=O)N2,NonRibosomalPeptide
5,COC(=O)c1cc2cc3c(c(O)c2c(=O)o1)OC1(CC3)Cc2c(cc3c(c2O)C(=O)C=C(OC)C3=O)O1,TypeIIPolyketide
6,COC(=O)c1cc2cc3c(c(O)c2c(=O)o1)OC1(C=C2C(=O)c4c(O)cc(OC)c(O)c4C(=O)C2O1)CC3,TypeIIPolyketide
7,CCC1(O)C=Cc2c(c(O)c3c(O)c4cccc(O)c4c(O)c3c2O)C1OC1CC(N(C)C)C(OC2COC(C)C(OC3CC(O)C(O)C(C)O3)C2N(C)C)C(C)O1,TypeIIPolyketide
8,CCC1(O)C=Cc2c(c(O)c3c(O)c4cccc(O)c4c(O)c3c2O)C1OC1CC(N(C)C)C(OC2COC(C)C(OC3CCC(O)C(C)O3)C2N(C)C)C(C)O1,TypeIIPolyketide
9,CCC1(O)CC(=O)c2c(c(O)c3c(O)c4cccc(O)c4c(O)c3c2O)C1OC1CC(N(C)C)C(OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(O)C(C)O4)C(C)O3)C(C)O2)C(C)O1,TypeIIPolyketide
11,COC(=O)c1cc2cc(CCc3coc4c(O)c5c(c(O)c34)C(=O)C=C(OC)C5=O)c(O)c(O)c2c(=O)o1,TypeIIPolyketide
12,CCC(C)(O)c1cc(=O)c2c(C)cc3c(c2o1)C(=O)c1c(O)cccc1C3=O,TypeIIPolyketide
13,NC(=O)CCC(Nc1ccc(O)cc1)C(=O)O,Alkaloid
14,CCCCC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3=CC4c5cccc6[nH]cc(c56)CC4N(C)C3)(C(C)C)C(=O)N12,Alkaloid
15,OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC8C(CO)OC(OC9C(CO)OC(OC1C(O)C2O)C(O)C9O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,Aminoglycoside
16,CCC(C)C1NC(=O)CNC(=O)C2Cc3c([nH]c4cc(O)ccc34)[S+]([O-])CC(NC(=O)CNC1=O)C(=O)NC(CC(N)=O)C(=O)N1CC(O)CC1C(=O)NC(C(C)C(C)O)C(=O)N2,NonRibosomalPeptide
17,CC1OC2CC(=O)OC2C2=C1C(=O)c1c(O)c(-c3cc(O)c4c(c3O)C(=O)C3=C(C4=O)C4OC(=O)CC4O[C@@H]3C)cc(O)c1C2=O,TypeIIPolyketide
