mibig_id,metabolite_id,unit_id
BGC0000001,34142,1
BGC0000001,34142,2
BGC0000001,34142,3
BGC0000001,34142,4
BGC0000001,34142,5
BGC0000001,34142,6
BGC0000001,34142,7
BGC0001694,13833,1
BGC0001694,13833,2
BGC0001694,13833,3
BGC0001694,13833,4
BGC0001694,13833,5
BGC0001694,13833,6
BGC0001694,13833,7
BGC0001694,13833,8
BGC0001694,13833,9
BGC0001694,13833,10
BGC0001694,13833,11
BGC0001337,783,1
BGC0001337,783,2
BGC0001337,783,3
BGC0001337,783,4
BGC0001337,783,5
BGC0001337,783,6
BGC0001336,24525,1
BGC0001336,24525,2
BGC0001336,24525,3
BGC0001331,31676,1
BGC0001331,31676,2
BGC0001331,31676,3
BGC0001331,31676,4
BGC0001331,31676,5
BGC0001331,31676,6
BGC0001331,31676,7
BGC0001331,31676,8
BGC0001331,31676,9
BGC0001331,31676,10
BGC0001331,31676,11
BGC0001330,31676,1
BGC0001330,31676,2
BGC0001330,31676,3
BGC0001330,31676,4
BGC0001330,31676,5
BGC0001330,31676,6
BGC0001330,31676,7
BGC0001330,31676,8
BGC0001330,31676,9
BGC0001330,31676,10
BGC0001330,31676,11
BGC0001332,16771,1
BGC0001332,16771,2
BGC0001332,16771,3
BGC0001332,16771,4
BGC0001332,16771,5
BGC0001332,16771,6
BGC0001332,16771,7
BGC0001332,16771,8
BGC0000002,35638,1
BGC0000002,35638,2
BGC0000002,35638,3
BGC0000002,35638,4
BGC0000002,35638,5
BGC0000002,35638,6
BGC0000002,35638,7
BGC0000002,35638,8
BGC0000002,35638,9
BGC0000002,35638,10
BGC0000002,35638,11
BGC0000002,35638,12
BGC0000002,35638,13
BGC0000002,35638,14
BGC0000002,35638,15
BGC0000002,35638,16
BGC0000002,35638,17
BGC0000002,35638,18
BGC0000002,35638,19
BGC0000002,35638,20
BGC0000002,35638,21
BGC0000002,35638,22
BGC0000002,35638,23
BGC0000002,35638,24
BGC0001335,30606,1
BGC0001335,30606,2
BGC0001335,30606,3
BGC0001335,30606,4
BGC0001335,30606,5
BGC0001334,29467,1
BGC0001334,29467,2
BGC0001334,29467,3
BGC0001334,29467,4
BGC0001334,29467,5
BGC0001334,29467,6
BGC0001342,27618,1
BGC0001342,27618,2
BGC0001342,27618,3
BGC0001342,27618,4
BGC0001342,27618,5
BGC0001342,27618,6
BGC0001342,27618,7
BGC0001342,27618,8
BGC0001342,27618,9
BGC0001342,27618,10
BGC0001342,27618,11
BGC0001342,27618,12
BGC0001342,27618,13
BGC0001342,27618,14
BGC0000006,35394,1
BGC0000004,35394,1
BGC0000010,35394,1
BGC0000009,35394,1
BGC0000007,35394,1
BGC0000011,35394,1
BGC0000003,35416,1
BGC0000003,35416,2
BGC0000003,35416,3
BGC0000003,35416,4
BGC0000003,35416,5
BGC0000003,35416,6
BGC0001341,1127,1
BGC0001341,1127,2
BGC0001341,1127,3
BGC0001341,1127,4
BGC0001341,1127,5
BGC0001341,1127,6
BGC0001341,1127,7
BGC0001341,1127,8
BGC0001846,1127,1
BGC0001846,1127,2
BGC0001846,1127,3
BGC0001846,1127,4
BGC0001846,1127,5
BGC0001846,1127,6
BGC0001846,1127,7
BGC0001846,1127,8
BGC0000453,1127,1
BGC0000453,1127,2
BGC0000453,1127,3
BGC0000453,1127,4
BGC0000453,1127,5
BGC0000453,1127,6
BGC0000453,1127,7
BGC0000453,1127,8
BGC0001338,29542,1
BGC0001338,29542,2
BGC0001338,29542,3
BGC0001338,29542,4
BGC0001338,29542,5
BGC0000894,29542,1
BGC0000894,29542,2
BGC0000894,29542,3
BGC0000894,29542,4
BGC0000894,29542,5
BGC0001455,1219,1
BGC0001455,1219,2
BGC0001455,1219,3
BGC0001455,1219,4
BGC0001455,1219,5
BGC0001340,31127,1
BGC0001340,31127,2
BGC0001340,31127,3
BGC0001339,2163,1
BGC0001339,2163,2
BGC0001339,2163,3
BGC0001339,2163,4
BGC0001339,2163,5
BGC0001339,2163,6
BGC0001339,2163,7
BGC0001339,2163,8
BGC0001339,2163,9
BGC0001339,2163,10
BGC0001339,2163,11
BGC0001339,2163,12
BGC0001339,2163,13
BGC0001339,2163,14
BGC0001346,30981,1
BGC0001346,30981,2
BGC0001346,30981,3
BGC0001346,30981,4
BGC0001346,30981,5
BGC0001346,30981,6
BGC0001346,30981,7
BGC0001346,30981,8
BGC0001346,30981,9
BGC0001345,16327,1
BGC0001345,16327,2
BGC0001345,16327,3
BGC0002324,16327,1
BGC0002324,16327,2
BGC0002324,16327,3
BGC0002491,16327,1
BGC0002491,16327,2
BGC0002491,16327,3
BGC0002492,16327,1
BGC0002492,16327,2
BGC0002492,16327,3
BGC0001343,34336,1
BGC0001343,34336,2
BGC0002591,34336,1
BGC0002591,34336,2
BGC0001344,4717,1
BGC0001344,4717,2
BGC0001344,4717,3
BGC0001344,4717,4
BGC0001344,4717,5
BGC0001344,4717,6
BGC0001344,4717,7
BGC0001344,4717,8
BGC0001344,4717,9
BGC0001344,4717,10
BGC0001344,4717,11
BGC0001053,4719,1
BGC0001053,4719,2
BGC0001053,4719,3
BGC0001053,4719,4
BGC0001053,4719,5
BGC0001053,4719,6
BGC0001053,4719,7
BGC0001053,4719,8
BGC0001053,4719,9
BGC0001053,4719,10
BGC0001053,4719,11
BGC0000152,40404,1
BGC0000014,33631,1
BGC0000014,33631,2
BGC0000014,33631,3
BGC0000014,33631,4
BGC0000014,33631,5
BGC0000014,33631,6
BGC0000014,33631,7
BGC0000014,33631,8
BGC0000014,33631,9
BGC0000014,33631,10
BGC0000014,33631,11
BGC0000014,33631,12
BGC0001350,11895,1
BGC0001350,11895,2
BGC0001350,11895,3
BGC0001350,11895,4
BGC0001350,11895,5
BGC0001350,11895,6
BGC0001350,11895,7
BGC0001350,11895,8
BGC0001350,11895,9
BGC0001350,11895,10
BGC0001350,11895,11
BGC0001350,11895,12
BGC0001350,11895,13
BGC0001350,11895,14
BGC0001350,11895,15
BGC0001350,11895,16
BGC0001350,11895,17
BGC0001350,11895,18
BGC0001350,11895,19
BGC0000012,33692,1
BGC0000012,33692,2
BGC0000012,33692,3
BGC0000012,33692,4
BGC0000012,33692,5
BGC0000012,33692,6
BGC0000012,33692,7
BGC0000012,33692,8
BGC0000012,33692,9
BGC0001349,16653,1
BGC0001349,16653,2
BGC0001349,16653,3
BGC0001349,16653,4
BGC0001349,16653,5
BGC0001349,16653,6
BGC0001349,16653,7
BGC0001349,16653,8
BGC0001349,16653,9
BGC0001349,16653,10
BGC0001349,16653,11
BGC0001349,16653,12
BGC0001349,16653,13
BGC0000097,16653,1
BGC0000097,16653,2
BGC0000097,16653,3
BGC0000097,16653,4
BGC0000097,16653,5
BGC0000097,16653,6
BGC0000097,16653,7
BGC0000097,16653,8
BGC0000097,16653,9
BGC0000097,16653,10
BGC0000097,16653,11
BGC0000097,16653,12
BGC0000097,16653,13
BGC0002101,16653,1
BGC0002101,16653,2
BGC0002101,16653,3
BGC0002101,16653,4
BGC0002101,16653,5
BGC0002101,16653,6
BGC0002101,16653,7
BGC0002101,16653,8
BGC0002101,16653,9
BGC0002101,16653,10
BGC0002101,16653,11
BGC0002101,16653,12
BGC0002101,16653,13
BGC0001348,19535,1
BGC0001348,19535,2
BGC0001348,19535,3
BGC0001348,19535,4
BGC0001348,19535,5
BGC0001348,19535,6
BGC0001348,19535,7
BGC0001348,19535,8
BGC0001348,19535,9
BGC0001348,19535,10
BGC0001348,19535,11
BGC0001348,19535,12
BGC0001348,19535,13
BGC0001348,19535,14
BGC0000013,33681,1
BGC0000013,33681,2
BGC0000013,33681,3
BGC0001284,33681,1
BGC0001284,33681,2
BGC0001284,33681,3
BGC0000021,34822,1
BGC0000021,34822,2
BGC0000021,34822,3
BGC0000021,34822,4
BGC0000021,34822,5
BGC0000021,34822,6
BGC0000021,34822,7
BGC0000021,34822,8
BGC0000021,34822,9
BGC0000021,34822,10
BGC0000021,34822,11
BGC0000021,34822,12
BGC0000021,34822,13
BGC0000021,34822,14
BGC0000021,34822,15
BGC0000021,34822,16
BGC0000021,34822,17
BGC0000021,34822,18
BGC0000018,33492,1
BGC0000018,33492,2
BGC0000018,33492,3
BGC0000018,33492,4
BGC0000018,33492,5
BGC0000018,33492,6
BGC0000018,33492,7
BGC0000018,33492,8
BGC0000018,33492,9
BGC0000018,33492,10
BGC0000018,33492,11
BGC0000018,33492,12
BGC0001361,6473,1
BGC0001361,6473,2
BGC0001361,6473,3
BGC0001361,6473,4
BGC0001361,6473,5
BGC0002283,6473,1
BGC0002283,6473,2
BGC0002283,6473,3
BGC0002283,6473,4
BGC0002283,6473,5
BGC0001351,28507,1
BGC0001351,28507,2
BGC0001351,28507,3
BGC0001351,28507,4
BGC0001351,28507,5
BGC0001358,17933,1
BGC0001358,17933,2
BGC0001358,17933,3
BGC0001358,17933,4
BGC0001358,17933,5
BGC0001358,17933,6
BGC0001358,17933,7
BGC0001358,17933,8
BGC0001358,17933,9
BGC0001358,17933,10
BGC0001358,17933,11
BGC0001358,17933,12
BGC0001358,17933,13
BGC0001365,1057,1
BGC0001365,1057,2
BGC0001369,714,1
BGC0001369,714,2
BGC0001369,714,3
BGC0001369,714,4
BGC0001369,714,5
BGC0001369,714,6
BGC0001369,714,7
BGC0001369,714,8
BGC0001369,714,9
BGC0001369,714,10
BGC0001369,714,11
BGC0001366,33261,1
BGC0001366,33261,2
BGC0001366,33261,3
BGC0001512,33261,1
BGC0001512,33261,2
BGC0001512,33261,3
BGC0000031,30601,1
BGC0000031,30601,2
BGC0000031,30601,3
BGC0000031,30601,4
BGC0000031,30601,5
BGC0000031,30601,6
BGC0000031,30601,7
BGC0000031,30601,8
BGC0000031,30601,9
BGC0000031,30601,10
BGC0001533,30601,1
BGC0001533,30601,2
BGC0001533,30601,3
BGC0001533,30601,4
BGC0001533,30601,5
BGC0001533,30601,6
BGC0001533,30601,7
BGC0001533,30601,8
BGC0001533,30601,9
BGC0001533,30601,10
BGC0001370,769,1
BGC0001370,769,2
BGC0001370,769,3
BGC0001370,769,4
BGC0001370,769,5
BGC0001370,769,6
BGC0001370,769,7
BGC0001370,769,8
BGC0001370,769,9
BGC0001370,769,10
BGC0001370,769,11
BGC0001370,769,12
BGC0001370,769,13
BGC0001374,4279,1
BGC0001374,4279,2
BGC0001374,4279,3
BGC0000033,18375,1
BGC0000033,18375,2
BGC0000033,18375,3
BGC0000033,18375,4
BGC0000033,18375,5
BGC0000033,18375,6
BGC0000033,18375,7
BGC0000033,18375,8
BGC0000033,18375,9
BGC0001357,30171,1
BGC0001357,30171,2
BGC0001357,30171,3
BGC0001357,30171,4
BGC0001357,30171,5
BGC0001357,30171,6
BGC0001357,30171,7
BGC0001357,30171,8
BGC0001357,30171,9
BGC0001357,30171,10
BGC0001357,30171,11
BGC0001357,30171,12
BGC0001357,30171,13
BGC0001357,30171,14
BGC0001357,30171,15
BGC0001357,30171,16
BGC0001357,30171,17
BGC0001357,30171,18
BGC0001357,30171,19
BGC0001357,30171,20
BGC0001357,30171,21
BGC0001357,30171,22
BGC0001386,19501,1
BGC0001386,19501,2
BGC0001386,19501,3
BGC0001386,19501,4
BGC0001387,5799,1
BGC0001387,5799,2
BGC0001387,5799,3
BGC0001387,5799,4
BGC0001387,5799,5
BGC0001393,17635,1
BGC0001393,17635,2
BGC0001393,17635,3
BGC0001393,17635,4
BGC0001393,17635,5
