mibig_id,cluster_id,orf_id
BGC0000001,2474238480_7757_57829,2474238480_7757_8182
BGC0000001,2474238480_7757_57829,2474238480_8175_9953
BGC0000001,2474238480_7757_57829,2474238480_10118_11143
BGC0000001,2474238480_7757_57829,2474238480_11140_13008
BGC0000001,2474238480_7757_57829,2474238480_13005_13241
BGC0000001,2474238480_7757_57829,2474238480_13238_13993
BGC0000001,2474238480_7757_57829,2474238480_13990_15057
BGC0000001,2474238480_7757_57829,2474238480_46457_47149
BGC0000001,2474238480_7757_57829,2474238480_47233_48660
BGC0000001,2474238480_7757_57829,2474238480_49826_51442
BGC0000001,2474238480_7757_57829,2474238480_51439_52374
BGC0000001,2474238480_7757_57829,2474238480_52371_53222
BGC0000001,2474238480_7757_57829,2474238480_53212_54831
BGC0000001,2474238480_7757_57829,2474238480_54828_56015
BGC0000001,2474238480_7757_57829,2474238480_55978_56229
BGC0000001,2474238480_7757_57829,2474238480_56230_56808
BGC0000001,2474238480_7757_57829,2474238480_56924_57829
BGC0001694,3293040098_2166_73870,3293040098_2166_3503
BGC0001694,3293040098_2166_73870,3293040098_3534_4340
BGC0001694,3293040098_2166_73870,3293040098_5766_6422
BGC0001694,3293040098_2166_73870,3293040098_6458_7228
BGC0001694,3293040098_2166_73870,3293040098_7225_8070
BGC0001694,3293040098_2166_73870,3293040098_8067_9749
BGC0001694,3293040098_2166_73870,3293040098_9736_10632
BGC0001694,3293040098_2166_73870,3293040098_10629_11870
BGC0001694,3293040098_2166_73870,3293040098_11867_12808
BGC0001694,3293040098_2166_73870,3293040098_12805_14445
BGC0001694,3293040098_2166_73870,3293040098_14442_15437
BGC0001694,3293040098_2166_73870,3293040098_15525_15758
BGC0001694,3293040098_2166_73870,3293040098_15755_16972
BGC0001694,3293040098_2166_73870,3293040098_17070_17843
BGC0001694,3293040098_2166_73870,3293040098_19109_20557
BGC0001694,3293040098_2166_73870,3293040098_20783_21814
BGC0001694,3293040098_2166_73870,3293040098_21820_23706
BGC0001694,3293040098_2166_73870,3293040098_23703_23930
BGC0001694,3293040098_2166_73870,3293040098_23927_24769
BGC0001694,3293040098_2166_73870,3293040098_24766_25887
BGC0001694,3293040098_2166_73870,3293040098_25884_26708
BGC0001694,3293040098_2166_73870,3293040098_26788_27324
BGC0001694,3293040098_2166_73870,3293040098_62267_65095
BGC0001694,3293040098_2166_73870,3293040098_65206_66798
BGC0001694,3293040098_2166_73870,3293040098_66795_72587
BGC0001694,3293040098_2166_73870,3293040098_72875_73870
BGC0001337,94561307_13810_18167,94561307_13810_15237
BGC0001337,94561307_13810_18167,94561307_15234_18167
BGC0001336,3725698857_19_10971,3725698857_19_1059
BGC0001336,3725698857_19_10971,3725698857_1144_2796
BGC0001336,3725698857_19_10971,3725698857_2783_4282
BGC0001336,3725698857_19_10971,3725698857_4282_7596
BGC0001336,3725698857_19_10971,3725698857_7628_9034
BGC0001336,3725698857_19_10971,3725698857_9259_10971
BGC0001331,2085597899_3210_31250,2085597899_3210_3959
BGC0001330,3844012681_12332_40375,3844012681_39626_40375
BGC0001332,2968784389_1_42086,2968784389_8920_9303
BGC0001332,2968784389_1_42086,2968784389_9378_10556
BGC0001332,2968784389_1_42086,2968784389_10635_12224
BGC0001332,2968784389_1_42086,2968784389_12272_14071
BGC0001332,2968784389_1_42086,2968784389_14125_14913
BGC0001332,2968784389_1_42086,2968784389_15042_15872
BGC0001332,2968784389_1_42086,2968784389_16131_16328
BGC0001332,2968784389_1_42086,2968784389_29500_29892
BGC0001332,2968784389_1_42086,2968784389_30290_31633
BGC0000002,2391258425_2033_136261,2391258425_2033_3250
BGC0000002,2391258425_2033_136261,2391258425_106997_108208
BGC0000002,2391258425_2033_136261,2391258425_108201_109436
BGC0000002,2391258425_2033_136261,2391258425_109433_110647
BGC0000002,2391258425_2033_136261,2391258425_110671_111537
BGC0000002,2391258425_2033_136261,2391258425_111660_113456
BGC0000002,2391258425_2033_136261,2391258425_113559_114149
BGC0000002,2391258425_2033_136261,2391258425_114442_115662
BGC0000002,2391258425_2033_136261,2391258425_115949_117166
BGC0000002,2391258425_2033_136261,2391258425_117159_117959
BGC0000002,2391258425_2033_136261,2391258425_118079_119689
BGC0000002,2391258425_2033_136261,2391258425_119976_121211
BGC0000002,2391258425_2033_136261,2391258425_121208_122458
BGC0000002,2391258425_2033_136261,2391258425_122544_123653
BGC0000002,2391258425_2033_136261,2391258425_123731_124978
BGC0000002,2391258425_2033_136261,2391258425_125289_126755
BGC0000002,2391258425_2033_136261,2391258425_126853_127458
BGC0000002,2391258425_2033_136261,2391258425_127585_128784
BGC0000002,2391258425_2033_136261,2391258425_128813_129787
BGC0000002,2391258425_2033_136261,2391258425_129853_130593
BGC0000002,2391258425_2033_136261,2391258425_132162_133364
BGC0000002,2391258425_2033_136261,2391258425_133478_136261
BGC0001335,1766340197_3019_13601,1766340197_3019_4284
BGC0001335,1766340197_3019_13601,1766340197_4355_7645
BGC0001335,1766340197_3019_13601,1766340197_7660_9102
BGC0001335,1766340197_3019_13601,1766340197_9378_9902
BGC0001335,1766340197_3019_13601,1766340197_9899_10675
BGC0001335,1766340197_3019_13601,1766340197_10636_11214
BGC0001335,1766340197_3019_13601,1766340197_11239_12828
BGC0001335,1766340197_3019_13601,1766340197_12855_13601
BGC0001334,1788312858_1_16479,1788312858_1_1542
BGC0001334,1788312858_1_16479,1788312858_1567_2835
BGC0001334,1788312858_1_16479,1788312858_2832_3365
BGC0001334,1788312858_1_16479,1788312858_3539_4375
BGC0001334,1788312858_1_16479,1788312858_4717_6276
BGC0001334,1788312858_1_16479,1788312858_6318_8003
BGC0001334,1788312858_1_16479,1788312858_8000_9262
BGC0001334,1788312858_1_16479,1788312858_9243_10904
BGC0001334,1788312858_1_16479,1788312858_11214_11945
BGC0001334,1788312858_1_16479,1788312858_11942_15214
BGC0001334,1788312858_1_16479,1788312858_15214_16479
BGC0000006,4162709142_27877_32427,4162709142_27877_32427
BGC0000004,1841254780_29211_39707,1841254780_29211_33761
BGC0000004,1841254780_29211_39707,1841254780_34887_39707
BGC0000010,541582443_19146_23696,541582443_19146_23696
BGC0000009,3222528901_25148_36672,3222528901_25148_29689
BGC0000009,3222528901_25148_36672,3222528901_30822_35561
BGC0000009,3222528901_25148_36672,3222528901_35561_36199
BGC0000009,3222528901_25148_36672,3222528901_36358_36672
